entry_time_utc,jst_hour,jst_dow,atr_pct,adx,volume_ratio_20,ret_4bar_pct,ret_16bar_pct,btc_ret_4bar_pct,btc_ret_16bar_pct,direction,exit_reason,pnl_pct,scaled_pnl_pct,win,holding_bars
2025-02-26T11:30:00Z,20,2,0.5289,21.72,1.885,-1.552,-1.077,,,SHORT,TAKE_PROFIT,2.1306,2.1306,1,6
2025-02-26T17:15:00Z,2,3,0.9715,25.02,0.546,-1.911,-0.953,,,SHORT,TAKE_PROFIT,2.1306,2.1306,1,3
2025-02-27T19:30:00Z,4,4,0.6577,13.92,0.788,-2.35,-2.077,,,SHORT,TAKE_PROFIT,2.1306,2.1306,1,24
2025-03-01T06:15:00Z,15,5,0.578,26.33,0.917,-1.266,-3.799,,,SHORT,TAKE_PROFIT,2.1306,2.1306,1,17
2025-03-01T13:30:00Z,22,5,0.6503,38.02,1.168,-1.15,-3.311,,,SHORT,STOP_LOSS,-1.2304,-1.2304,0,12
2025-03-01T20:15:00Z,5,6,0.3539,27.09,0.013,-0.265,-0.303,,,SHORT,STOP_LOSS,-0.9804,-0.9804,0,7
2025-03-02T06:45:00Z,15,6,0.418,12.31,3.121,0.811,1.229,,,LONG,STOP_LOSS,-1.0769,-1.0769,0,9
2025-03-07T12:45:00Z,21,4,0.6047,11.91,0.391,-0.589,-1.0,,,SHORT,STOP_LOSS,-1.2304,-1.2304,0,2
2025-03-08T05:45:00Z,14,5,0.5294,16.49,0.162,-0.991,-0.044,,,SHORT,TAKE_PROFIT,2.1306,2.1306,1,46
2025-03-10T03:30:00Z,12,0,0.6841,33.8,0.022,-0.698,1.115,,,SHORT,STOP_LOSS,-1.2304,-1.2304,0,6
2025-03-12T20:30:00Z,5,3,0.5441,15.17,0.079,0.649,1.416,,,SHORT,STOP_LOSS,-1.2304,-1.2304,0,3
2025-03-13T04:30:00Z,13,3,0.4329,18.54,2.275,-1.14,-2.411,,,SHORT,STOP_LOSS,-1.2304,-1.2304,0,17
2025-03-14T20:45:00Z,5,5,0.548,39.95,6.478,-0.05,0.987,,,LONG,STOP_LOSS,-1.2296,-1.2296,0,38
2025-03-15T12:30:00Z,21,5,0.2788,18.7,0.208,0.784,1.203,,,LONG,STOP_LOSS,-1.114,-1.114,0,85
2025-03-17T03:15:00Z,12,0,0.4145,21.16,0.181,-0.403,1.575,,,LONG,STOP_LOSS,-1.2296,-1.2296,0,13
2025-03-18T10:00:00Z,19,1,0.4659,21.66,0.568,-1.113,0.0,,,SHORT,TAKE_PROFIT,1.8917,1.8917,1,14
2025-03-19T23:00:00Z,8,3,0.5305,19.92,3.437,0.652,3.597,,,LONG,STOP_LOSS,-1.2296,-1.2296,0,10
2025-03-20T03:00:00Z,12,3,0.4529,16.33,0.004,0.832,-0.53,,,LONG,STOP_LOSS,-1.0802,-1.0802,0,8
2025-03-20T06:15:00Z,15,3,0.2314,11.46,2.238,0.795,0.576,,,LONG,STOP_LOSS,-1.1354,-1.1354,0,16
2025-03-21T03:30:00Z,12,4,0.3245,15.83,1.874,0.136,0.637,,,SHORT,STOP_LOSS,-0.8905,-0.8905,0,3
2025-03-22T20:15:00Z,5,6,0.2988,14.52,0.146,0.129,0.103,,,LONG,STOP_LOSS,-1.1732,-1.1732,0,10
2025-03-23T02:45:00Z,11,6,0.2095,19.22,0.22,0.419,0.518,,,LONG,TAKE_PROFIT,2.1294,2.1294,1,27
2025-03-23T13:30:00Z,22,6,0.4493,41.74,0.337,0.131,1.84,,,LONG,STOP_LOSS,-1.2144,-1.2144,0,17
2025-03-24T02:30:00Z,11,0,0.5238,31.6,0.12,0.115,1.854,,,LONG,TAKE_PROFIT,2.1294,2.1294,1,3
2025-03-24T09:30:00Z,18,0,0.4517,50.67,0.075,-0.162,1.179,,,LONG,TAKE_PROFIT,2.1294,2.1294,1,10
2025-03-24T16:00:00Z,1,1,0.6526,49.6,0.193,0.242,0.223,,,LONG,STOP_LOSS,-1.2296,-1.2296,0,10
2025-03-24T19:00:00Z,4,1,0.3483,26.52,0.007,0.154,-0.405,,,LONG,STOP_LOSS,-0.8198,-0.8198,0,13
2025-03-25T09:30:00Z,18,1,0.4493,17.33,2.224,1.321,2.402,,,LONG,TAKE_PROFIT,2.1294,2.1294,1,16
2025-03-25T16:15:00Z,1,2,0.876,32.3,0.631,-0.615,1.539,,,LONG,STOP_LOSS,-1.2296,-1.2296,0,2
2025-03-25T18:15:00Z,3,2,0.5596,26.4,0.093,-0.009,0.028,,,LONG,STOP_LOSS,-1.0975,-1.0975,0,15
2025-03-26T01:30:00Z,10,2,0.3862,15.08,1.047,0.018,0.324,,,LONG,STOP_LOSS,-1.2296,-1.2296,0,4
2025-03-27T03:45:00Z,12,3,0.2914,21.11,2.251,-0.318,1.485,,,LONG,STOP_LOSS,-1.2296,-1.2296,0,31
2025-03-28T16:15:00Z,1,5,0.6417,35.61,0.116,0.437,-1.599,-0.432,-2.151,SHORT,TAKE_PROFIT,2.1306,2.1306,1,47
2025-03-29T09:45:00Z,18,5,0.4894,36.98,0.114,-0.463,-0.963,-0.559,-0.603,SHORT,TAKE_PROFIT,1.9821,1.9821,1,46
2025-03-30T13:30:00Z,22,6,0.3923,28.7,5.963,-0.768,-1.535,-0.123,-0.634,SHORT,STOP_LOSS,-1.2304,-1.2304,0,21
2025-03-31T00:30:00Z,9,0,0.717,17.56,6.577,-1.344,-2.642,-1.406,-1.932,SHORT,STOP_LOSS,-1.2304,-1.2304,0,3
2025-03-31T04:00:00Z,13,0,0.7081,13.13,0.457,-0.774,-0.38,0.004,-0.97,SHORT,STOP_LOSS,-1.2304,-1.2304,0,5
2025-04-01T00:00:00Z,9,1,0.4051,12.17,5.222,-0.944,-1.3,-0.223,-0.199,SHORT,STOP_LOSS,-1.2304,-1.2304,0,12
2025-04-02T01:00:00Z,10,2,0.4776,13.47,0.853,-0.712,-0.602,-0.205,-0.281,SHORT,STOP_LOSS,-1.2304,-1.2304,0,47
2025-04-03T06:00:00Z,15,3,0.5756,28.75,0.362,-1.538,-0.646,-0.538,-0.846,SHORT,TAKE_PROFIT,2.1306,2.1306,1,18
2025-04-03T17:30:00Z,2,4,0.7642,35.76,0.025,0.132,0.126,-0.002,-0.254,SHORT,STOP_LOSS,-1.2304,-1.2304,0,2
2025-04-04T04:15:00Z,13,4,0.5595,16.17,1.18,-0.622,-1.905,-0.341,-0.865,SHORT,STOP_LOSS,-1.2304,-1.2304,0,7
2025-04-05T05:00:00Z,14,5,0.4014,15.81,0.008,-0.203,-1.908,-0.092,-0.0,SHORT,STOP_LOSS,-1.2304,-1.2304,0,20
